implementation,scenario_id,question,generated_answer,ground_truth_answer,supporting_documents,manual_score,manual_label,manual_notes
vectordb_tuned,vt1,What is the first-response SLA for a Sev-1 support incident?,"The target first-response SLA for priority cases (Sev-1) is 15 minutes.

[Source: TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx]

Additionally, the Severity Matrix document also confirms this:
""Sev-1, **Response target** = 15 minutes.""

[Source: VAL-CS-001_Severity_Matrix.docx]",Sev-1 first-response target is 15 minutes (measured from correct severity classification).,VAL-CS-001_Severity_Matrix.docx | TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx,1.0,correct,Correct: 15 minutes; citations align with support/severity docs.
vectordb_tuned,vt2,What steps must be completed before a new employee is considered ready for day one at OrchestrAI?,"According to the Day-One Onboarding Checklist (VAL-HR-001), a new hire is considered onboarding-complete after the following tasks are completed:

1. The new hire must be able to sign in with baseline credentials and MFA.
2. Payroll and tax forms must be complete or formally escalated.
3. The manager must confirm first-week priorities and required meetings.
4. Any missing prerequisite that affects security, payroll, or access must be escalated the same day.

Additionally, the HR and People Operations Handbook (TEAMQA-HR-001) states that a new hire is considered onboarding-complete after required documents are recorded, payroll setup is confirmed, IT has completed core access and device delivery, orientation tasks are finished, and the hiring manager has acknowledged the role-specific ramp plan.","Employee record created in PeopleCore.
Laptop and baseline tools requested.
Badge / facility access request initiated (office-based staff).
Role-based access submitted through AccessHub.
Orientation invite sent (time zone + meeting link).
Manager ramp plan confirmed (first-week schedule visible).",VAL-HR-001_Day_One_Onboarding_Checklist.docx,0.5,partially_correct,Partly correct: gives day-one completion rules/onboarding-complete criteria but omits the pre-start checklist steps required for day-one readiness.
vectordb_tuned,vt3,"A new engineer starts on Monday, but their laptop has not arrived and their required access is still pending. Which teams are involved and what should happen next?","Based on the provided context, it appears that there are multiple teams involved in the process of provisioning laptops for new hires.

According to the VAL-IT-001_Laptop_Provisioning_FAQ.docx document, if a laptop is not available in local stock, IT allocates the closest approved catalog model when possible. If no standard device is available, the request is escalated to Procurement and the hiring manager is notified of revised delivery timing and fallback options.

Additionally, according to the Decision and Escalation Reference section of the same document, if a start date within 72 hours and no assigned device, the Primary Owner is IT Service Desk Lead. The escalation trigger is to notify the hiring manager and regional IT manager.

It seems that there are multiple teams involved in this process: IT (specifically the Service Desk Lead), Procurement, and possibly HR or People Ops for notification purposes.

As for what should happen next, it appears that the IT team should be notified of the issue, and they will likely escalate to Procurement if necessary. The hiring manager should also be informed of the revised delivery timing and fallback options.

However, without more specific information on the current status of the laptop provisioning process for this new engineer, it is difficult to provide a more detailed answer.","Teams: IT Service Desk Lead (rush start within 72 hours), Regional IT / Logistics (shipment delay), Asset Coordinator + Procurement (if requested model unavailable), and the hiring manager/manager (notifications + access request via AccessHub).
Next: escalate immediately per the Decision & Escalation Reference. For a start within 72 hours with no assigned device, the IT Service Desk Lead notifies the hiring manager and regional IT manager. If this is a shipment delay/damaged delivery, Regional IT / Logistics owns and escalates when delivery risk affects the start date. If the model is unavailable in stock, the Asset Coordinator escalates to Procurement. Access blockers should be escalated the same day.",VAL-IT-001_Laptop_Provisioning_FAQ.docx | VAL-HR-001_Day_One_Onboarding_Checklist.docx,0.5,partially_correct,"Partly correct: correctly cites 72-hour escalation (IT Service Desk Lead) and stock→Procurement path, but does not cover shipment-delay ownership (Regional IT/Logistics) and does not address the access escalation requirement."
vectordb_tuned,vt4,Can OrchestrAI make an urgent hardware purchase without following the normal PO workflow if a warehouse outage is at risk?,"According to the Emergency Procurement Exception Memo (VAL-FIN-005_Emergency_Procurement_Exception_Memo.docx), an exception can be made for emergency procurement when:

* A delay would create a customer outage, security exposure, or warehouse-operational failure.
* A standard approval path cannot complete in time to avoid material harm.
* A named executive or delegated approver accepts accountability for the exception.

In this case, if a warehouse outage is at risk due to a lack of hardware, an urgent purchase can be made without following the normal PO workflow. However, it requires acceptance by a named executive or delegated approver and documentation of the business justification for the exception.","Yes, via an emergency procurement exception when (1) delay would create a customer outage, security exposure, or warehouse-operational failure, and (2) the standard approval path cannot complete in time to avoid material harm. A named executive or delegated approver must accept accountability. The requester must document the business justification/impact, and Procurement + Finance must complete a follow-up PO/reconciliation.",VAL-FIN-005_Emergency_Procurement_Exception_Memo.docx,1.0,correct,Correct: states the conditions including executive/delegated accountability; sufficiently complete for the question.
vectordb_tuned,vt5,"A customer renewal is at risk because support cases are recurring, a requested feature is still unavailable, and replacement hardware is delayed. What should OrchestrAI do next, and which teams must be involved?","The retrieved context does not explicitly contain the rule or instruction for handling a customer renewal at risk due to recurring support cases, unavailability of a requested feature, and delayed replacement hardware.

However, it mentions that common risk indicators include unresolved critical defects, repeated SLA misses, poor adoption of core workflows, stakeholder turnover, delayed site expansion, and negative executive sentiment. It also states that recovery plans should be structured with the problem statement, impact summary, named owners, short-term mitigation, long-term corrective actions, customer-facing milestones, and the executive update cadence.

Based on this information, OrchestrAI may need to involve multiple teams, including Customer Success, Engineering, and Support, to address these issues. However, the context does not provide a specific instruction or policy for handling such situations.

Therefore, I must state that the retrieved context is insufficient to provide a clear answer to the question.","Move to Risk intervention: the CS manager owns a recovery plan with named owners, customer-facing milestones, and an executive update cadence. Support addresses recurring cases; escalate product defects to Engineering (and Product for roadmap/policy decisions); involve Logistics for physical-device blockers; involve Sales leadership if contract/commercial exposure becomes material.",TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx,0.0,incorrect,"Incorrect/incomplete: claims the documents lack instruction and does not provide the required Risk intervention action (CS manager recovery plan with exec cadence) or the full set of involved teams (e.g., Logistics for hardware blockers)."
hybrid,h1,What is the first-response SLA for a Sev-1 support incident?,"The target first-response SLA for a Sev-1 support incident is 15 minutes. This is stated in multiple documents:

* TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx: ""Baseline targets are 15 minutes for Sev-1, 1 hour for Sev-2, 4 business hours for Sev-3, and 1 business day for Sev-4.""
* VAL-CS-001_Severity_Matrix.docx: ""Sev-1, Response target = 15 minutes.""
* TEAMQA-ENG-001_OrchestrAI_Engineering_Platform_and_Edge_Systems_Handbook.docx: ""SEV-1 incident, Target response = Within 10 min.""",Sev-1 first-response target is 15 minutes (measured from correct severity classification).,VAL-CS-001_Severity_Matrix.docx | TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx,0.5,partially_correct,States 15 minutes but adds an unrelated/conflicting Engineering incident response target (10 min) without reconciling scope (support SLA vs engineering incident).
hybrid,h2,What steps must be completed before a new employee is considered ready for day one at OrchestrAI?,"According to the Day-One Onboarding Checklist (VAL-HR-001), the following steps must be completed before a new employee is considered ready for day one:

1. The new hire must be able to sign in with baseline credentials and MFA.
2. Payroll and tax forms must be complete or formally escalated.
3. The manager must confirm first-week priorities and required meetings.
4. Any missing prerequisite that affects security, payroll, or access must be escalated the same day.

Additionally, according to the HR and People Operations Handbook (TEAMQA-HR-001), a new hire is considered onboarding-complete after required documents are recorded, payroll setup is confirmed, IT has completed core access and device delivery, orientation tasks are finished, and the hiring manager has acknowledged the role-specific ramp plan.","Employee record created in PeopleCore.
Laptop and baseline tools requested.
Badge / facility access request initiated (office-based staff).
Role-based access submitted through AccessHub.
Orientation invite sent (time zone + meeting link).
Manager ramp plan confirmed (first-week schedule visible).",VAL-HR-001_Day_One_Onboarding_Checklist.docx,0.5,partially_correct,"Partly correct: includes day-one completion rules, but misses the explicit pre-start validation checklist steps."
hybrid,h3,"A new engineer starts on Monday, but their laptop has not arrived and their required access is still pending. Which teams are involved and what should happen next?","Based on the provided context, the following teams are involved:

* The hiring manager through the onboarding workflow (Source: VAL-IT-001_Laptop_Provisioning_FAQ.docx)
* IT, specifically the asset coordinator for device selection and build/secure process (Source: VAL-IT-001_Laptop_Provisioning_FAQ.docx)

As for what should happen next:

* The hiring manager or HRIS should ensure that the request is present in the hiring workflow at least seven business days before the employee start date, as per the standard new-hire laptop requests policy (Source: VAL-IT-001_Laptop_Provisioning_FAQ.docx).
* IT should allocate the closest approved catalog model when possible and notify the hiring manager of revised delivery timing and fallback options if no standard device is available (Source: VAL-IT-001_Laptop_Provisioning_FAQ.docx).

It's also worth noting that since the new engineer's laptop has not arrived, it may be considered a shipment delay or damaged delivery issue. In this case, Regional IT/Logistics would be the primary owner, and escalation to Procurement might be necessary (Source: VAL-IT-001_Laptop_Provisioning_FAQ.docx).","Teams: IT Service Desk Lead (rush start within 72 hours), Regional IT / Logistics (shipment delay), Asset Coordinator + Procurement (if requested model unavailable), and the hiring manager/manager (notifications + access request via AccessHub).
Next: escalate immediately per the Decision & Escalation Reference. For a start within 72 hours with no assigned device, the IT Service Desk Lead notifies the hiring manager and regional IT manager. If this is a shipment delay/damaged delivery, Regional IT / Logistics owns and escalates when delivery risk affects the start date. If the model is unavailable in stock, the Asset Coordinator escalates to Procurement. Access blockers should be escalated the same day.",VAL-IT-001_Laptop_Provisioning_FAQ.docx | VAL-HR-001_Day_One_Onboarding_Checklist.docx,0.5,partially_correct,"Partly correct: mentions stock allocation and shipment-delay ownership (Regional IT/Logistics), but misses the explicit 72-hour/no-device escalation owner (IT Service Desk Lead) and next-step trigger."
hybrid,h4,Can OrchestrAI make an urgent hardware purchase without following the normal PO workflow if a warehouse outage is at risk?,"According to the Finance and Procurement Handbook (TEAMQA-FIN-001_OrchestrAI_Finance_and_Procurement_Handbook.docx), a purchase order is required for controlled third-party spend above the local threshold, which implies that normal PO workflow should be followed. However, it also states that the team owns vendor onboarding and spend discipline, and that they are the main gatekeeper for exception documentation.

The context does not explicitly state whether an urgent hardware purchase can be made without following the normal PO workflow in case of a warehouse outage at risk. Therefore, I must say that the retrieved context is insufficient to provide a clear answer.","Yes, via an emergency procurement exception when (1) delay would create a customer outage, security exposure, or warehouse-operational failure, and (2) the standard approval path cannot complete in time to avoid material harm. A named executive or delegated approver must accept accountability. The requester must document the business justification/impact, and Procurement + Finance must complete a follow-up PO/reconciliation.",VAL-FIN-005_Emergency_Procurement_Exception_Memo.docx,0.0,incorrect,Incorrect: says context is insufficient; VAL-FIN-005 explicitly allows emergency exceptions (including warehouse-operational failure) under stated conditions.
hybrid,h5,"A customer renewal is at risk because support cases are recurring, a requested feature is still unavailable, and replacement hardware is delayed. What should OrchestrAI do next, and which teams must be involved?","Based on the provided context, the following steps should be taken:

1. The Customer Success team should identify the account as at risk due to recurring support cases, unavailability of a requested feature, and delayed replacement hardware.
2. The Support team should involve Logistics when resolution depends on replacement hardware (TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx).
3. The Support team should also involve Engineering when logs indicate a product defect or required fix exceeds configuration workarounds (TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx).
4. Feature requests are documented in AtlasCRM with account context, business impact, and urgency (TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx).

The teams that must be involved are:

* Customer Success
* Support
* Logistics
* Engineering

Note: The Renewal Risk Signals Brief (VAL-CS-004_Renewal_Risk_Signals_Brief.docx) indicates that the Customer Success team uses signals such as health score, churn risk, executive concern, and recovery planning to identify at-risk accounts. However, it does not provide specific guidance on what actions to take when an account is identified as at risk.","Move to Risk intervention: the CS manager owns a recovery plan with named owners, customer-facing milestones, and an executive update cadence. Support addresses recurring cases; escalate product defects to Engineering (and Product for roadmap/policy decisions); involve Logistics for physical-device blockers; involve Sales leadership if contract/commercial exposure becomes material.",TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx,0.5,partially_correct,"Partly correct: correctly routes to Engineering and Logistics and notes feature request logging, but omits the defined Risk intervention step (CS manager-owned recovery plan with executive cadence)."
reranker,r1,What is the first-response SLA for a Sev-1 support incident?,"The target first-response SLA for priority cases, specifically Sev-1 incidents, is 15 minutes. This is stated in multiple sources:

* TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx: ""Baseline targets are 15 minutes for Sev-1...""
* VAL-CS-001_Severity_Matrix.docx: ""Sev-1, Response target = 15 minutes.""
* TEAMQA-IT-001_OrchestrAI_IT_Workplace_and_Service_Desk_Handbook.docx: ""P1, First Response = 15 minutes.""",Sev-1 first-response target is 15 minutes (measured from correct severity classification).,VAL-CS-001_Severity_Matrix.docx | TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx,1.0,correct,Correct: 15 minutes; no material unsupported claims.
reranker,r2,What steps must be completed before a new employee is considered ready for day one at OrchestrAI?,"According to the Day-One Onboarding Checklist (VAL-HR-001_Day_One_Onboarding_Checklist.docx), the following steps must be completed before a new employee is considered ready for day one:

1. The new hire must be able to sign in with baseline credentials and MFA.
2. Payroll and tax forms must be complete or formally escalated.
3. The manager must confirm first-week priorities and required meetings.
4. Any missing prerequisite that affects security, payroll, or access must be escalated the same day.

These steps are outlined in the Day-One Onboarding Checklist document, which is owned by HR & People Operations and has an effective date of 2026-02-24.","Employee record created in PeopleCore.
Laptop and baseline tools requested.
Badge / facility access request initiated (office-based staff).
Role-based access submitted through AccessHub.
Orientation invite sent (time zone + meeting link).
Manager ramp plan confirmed (first-week schedule visible).",VAL-HR-001_Day_One_Onboarding_Checklist.docx,0.5,partially_correct,Partly correct but incomplete: provides day-one completion rules only; omits the pre-start validation checklist steps.
reranker,r3,"A new engineer starts on Monday, but their laptop has not arrived and their required access is still pending. Which teams are involved and what should happen next?","The retrieved context is insufficient to provide a complete answer to the question. However, based on the provided information:

* The hiring manager/HRIS is responsible for request intake (VAL-IT-001_Laptop_Provisioning_FAQ.docx).
* If a laptop is not available in local stock, IT allocates the closest approved catalog model when possible and escalates to Procurement if no standard device is available (VAL-IT-001_Laptop_Provisioning_FAQ.docx).
* The asset coordinator records the asset tag and serial number (VAL-IT-001_Laptop_Provisioning_FAQ.docx).
* Endpoint Engineering stages a standard image, applies FleetPulse policies, encrypts the device, validates baseline software, and associates the asset with the employee record before release (TEAMQA-IT-001_OrchestrAI_IT_Workplace_and_Service_Desk_Handbook.docx).

To determine which teams are involved and what should happen next, additional information is required.","Teams: IT Service Desk Lead (rush start within 72 hours), Regional IT / Logistics (shipment delay), Asset Coordinator + Procurement (if requested model unavailable), and the hiring manager/manager (notifications + access request via AccessHub).
Next: escalate immediately per the Decision & Escalation Reference. For a start within 72 hours with no assigned device, the IT Service Desk Lead notifies the hiring manager and regional IT manager. If this is a shipment delay/damaged delivery, Regional IT / Logistics owns and escalates when delivery risk affects the start date. If the model is unavailable in stock, the Asset Coordinator escalates to Procurement. Access blockers should be escalated the same day.",VAL-IT-001_Laptop_Provisioning_FAQ.docx | VAL-HR-001_Day_One_Onboarding_Checklist.docx,0.5,partially_correct,"Partly correct: lists relevant teams/process pieces, but it refuses to provide next steps despite explicit escalation guidance in VAL-IT-001 (owners/triggers) and misses shipment-delay ownership and access escalation."
reranker,r4,Can OrchestrAI make an urgent hardware purchase without following the normal PO workflow if a warehouse outage is at risk?,"According to the Emergency Procurement Exception Memo (VAL-FIN-005_Emergency_Procurement_Exception_Memo.docx), an exception can be made for emergency procurement if ""Delay would create a customer outage, security exposure, or warehouse-operational failure."" Therefore, OrchestrAI can make an urgent hardware purchase without following the normal PO workflow if a warehouse outage is at risk.","Yes, via an emergency procurement exception when (1) delay would create a customer outage, security exposure, or warehouse-operational failure, and (2) the standard approval path cannot complete in time to avoid material harm. A named executive or delegated approver must accept accountability. The requester must document the business justification/impact, and Procurement + Finance must complete a follow-up PO/reconciliation.",VAL-FIN-005_Emergency_Procurement_Exception_Memo.docx,0.5,partially_correct,"Partly correct: correctly says an exception can apply, but omits key conditions (standard path timing + executive/delegated accountability) and required after-the-fact controls."
